AIX00020|TCB Software
GEN006360|/etc/news Files Group Ownership
GEN006380|NIS/NIS+ Implemented Under UDP
GEN006400|NIS Documentation
GEN006420|NIS Maps Domain Names
GEN006440|NIS Used as Opposed to NIS+
GEN006460|NIS+ Server at Security Level 2
GEN006480|Host-Based Intrusion Detection Tool
GEN006540|System Vulnerabiltiy Assessment Tool
GEN006560|Security Tool Notifications
GEN006565|The system package management tool must be used to verify system software periodically.
GEN006570|The file integrity tool must be configured to verify ACLs.
GEN006571|The file integrity tool must be configured to verify extended attributes.
GEN006575|The file integrity tool must use FIPS 140-2 approved cryptographic hashes for validating file contents.
GEN006580|Access Control Program
GEN006600|Access Control Program Logging
GEN006620|Access Control Program Control System Access
GEN006640|Virus Protection Software
GEN007020|The Stream Control Transmission Protocol (SCTP) must be disabled unless required.
GEN007080|The Datagram Congestion Control Protocol (DCCP) must be disabled unless required.
GEN007140|The Lightweight User Datagram Protocol (UDP-Lite) must be disabled unless required.
GEN007200|The Internetwork Packet Exchange (IPX) protocol must be disabled or not installed.
GEN007260|The AppleTalk protocol must be disabled or not installed.
GEN007320|The DECnet protocol must be disabled or not installed.
GEN007480|The Reliable Datagram Sockets (RDS) protocol must be disabled or not installed unless required.
GEN007540|The Transparent Inter-Process Communication (TIPC) must be disabled or not installed.
GEN007660|The Bluetooth protocol handler must be disabled or not installed.
GEN007700|The IPv6 protocol handler must not be bound to the network stack unless needed.
GEN007720|The IPv6 protocol handler must be prevented from dynamic loading unless needed.
GEN007760|Proxy Neighbor Discovery Protocol (NDP) must not be enabled on the system.
GEN007780|The system must not have 6to4 enabled.
GEN007800|The system must not have Teredo enabled.
GEN007820|The system must not have IP tunnels configured.
GEN007840|The DHCP client must be disabled if not needed.
GEN007860|The system must ignore IPv6 ICMP redirect messages.
GEN007880|The system must not send IPv6 ICMP redirects.
GEN007900|The system must use an appropriate reverse-path filter for IPv6 network traffic, if the system uses IPv6.
GEN007920|The system must not forward IPv6 source-routed packets.
GEN007940|The system must not accept source-routed IPv6 packets.
GEN007950|The system must not respond to ICMPv6 echo requests sent to a broadcast address.
GEN007960|The 'ldd' command must be disabled unless it protects against the execution of untrusted files.
GEN007970|If the system is using LDAP for authentication or account information, the system must use a FIPS 140-2 validated cryptographic module (operating in FIPS mode) for protecting the LDAP connection.
GEN008000|If the system is using LDAP for authentication or account information, certificates used to authenticate to the LDAP server must be provided from DoD PKI or a DoD-approved external PKI.
GEN008020|If the system is using LDAP for authentication or account information, the LDAP TLS connection must require that the server provides a certificate and that this certificate has a valid trust path to a trusted CA.
GEN008040|If the system is using LDAP for authentication or account information, the system must check that the LDAP server's certificate has not been revoked.
GEN008050|If the system is using LDAP for authentication or account information, the /etc/ldap.conf file (or equivalent) must not contain passwords.
GEN008060|If the system is using LDAP for authentication or account information the /etc/ldap.conf (or equivalent) file must have mode 0644 or less permissive.
GEN008080|If the system is using LDAP for authentication or account information, the /etc/ldap.conf (or equivalent) file must be owned by root.
GEN008100|If the system is using LDAP for authentication or account information, the /etc/ldap.conf (or equivalent) file must be group-owned by root, bin, sys, or system.
GEN008120|If the system is using LDAP for authentication or account information, the /etc/ldap.conf (or equivalent) file must not have an extended ACL.
GEN008140|If the system is using LDAP for authentication or account information, the TLS certificate authority file and/or directory (as appropriate) must be owned by root.
GEN008160|If the system is using LDAP for authentication or account information, the TLS certificate authority file and/or directory (as appropriate) must be group-owned by root, bin, sys, or system.
GEN008180|If the system is using LDAP for authentication or account information, the TLS certificate authority file and/or directory (as appropriate) must have mode 0644 (0755 for directories) or less permissive.
GEN008200|If the system is using LDAP for authentication or account information, the LDAP TLS certificate authority file and/or directory (as appropriate) must not have an extended ACL.
GEN008220|For systems using NSS LDAP, the TLS certificate file must be owned by root.
GEN008240|If the system is using LDAP for authentication or account information, the LDAP TLS certificate file must be group-owned by root, bin, sys, or system.
GEN008260|If the system is using LDAP for authentication or account information, the LDAP TLS certificate file must have mode 0644 or less permissive.
GEN008280|If the system is using LDAP for authentication or account information, the LDAP TLS certificate file must not have an extended ACL.
GEN008300|If the system is using LDAP for authentication or account information, the LDAP TLS key file must be owned by root.
GEN008320|If the system is using LDAP for authentication or account information, the LDAP TLS key file must be group-owned by root, bin, sys, or system.
GEN008340|If the system is using LDAP for authentication or account information, the LDAP TLS key file must have mode 0600 or less permissive.
GEN008360|If the system is using LDAP for authentication or account information, the LDAP TLS key file must not have an extended ACL.
GEN008380|A root kit check tool must be run on the system at least weekly.
GEN008420|The system must use available memory address randomization techniques.
GEN008440|Automated file system mounting tools must not be enabled unless needed.
GEN008460|The system must have USB disabled unless needed.
GEN008480|The system must have USB Mass Storage disabled unless needed.
GEN008500|The system must have IEEE 1394 (Firewire) disabled unless needed.
GEN008520|The system must employ a local firewall.
GEN008540|The system's local firewall must implement a deny-all, allow-by-exception policy.
GEN008600|The system must be configured to only boot from the system boot device.
GEN008620|System BIOS or system controllers supporting password protection must have administrator accounts/passwords configured, and no others.
GEN008640|The system must not use removable media as the boot loader.
GEN008660|For systems capable of using GRUB, the system must be configured with GRUB as the default boot loader unless another boot loader has been authorized, justified, and documented using site-defined procedures.
GEN008680|If the system boots from removable media, it must be stored in a safe or similarly secured container.
GEN008700|The system boot loader must require authentication.
GEN008710|The system boot loader must protect passwords using an MD5 or stronger cryptographic hash.
GEN008720|The system's boot loader configuration file(s) must have mode 0600 or less permissive.
GEN008740|The system's boot loader configuration file(s) must not have extended ACLs.
GEN008760|The system's boot loader configuration files must be owned by root.
GEN008780|The system's boot loader configuration file(s) must be group-owned by root, bin, sys, or system.
GEN008800|The system package management tool must cryptographically verify the authenticity of software packages during installation.
GEN008820|The system package management tool must not automatically obtain updates.
GEN009120|The system, if capable, must be configured to require the use of a CAC, PIV compliant hardware token or Alternate Logon Token (ALT) for authentication.
HPUX0020|Operating in Trusted Mode
HPUX0040|AUDMON_ARGS Flag Configuration
HPUX0060|/etc/securetty Ownership
HPUX0080|/ etc/securetty Group Owner
HPUX0100|/etc/securetty Permissions
IRIX0020|The xmfsmd Service is Enabled
LNX00040|Disable Boot From Removable Media
LNX00060|Password Configuration Table Configuration
LNX00080|Boot Diskette
LNX00100|Default Boot Loader
LNX00120|/boot Partition
LNX00140|GRUB Boot Loader Encrypted Password
LNX00160|grub.conf Permissions
LNX00180|LILO Global Password
LNX00200|LILO Boot Loader Encrypted Password
LNX00220|/etc/lilo.conf Permissions
LNX00240|Journaling
LNX00260|Kickstart or AutoYaST
LNX00280|Capable of Dual Boot
LNX00300|The rpc.ugidd Daemon is Enabled
LNX00320|Special Privileged Accounts
LNX00340|Unnecessary Accounts
LNX00360|X Server Options Enabled
LNX00380|X Server Options Not Enabled
LNX00400|Access File Ownership
LNX00420|Access File Group Ownership
LNX00440|Access File Permissions
LNX00480|/etc/sysctl.conf Ownership
LNX00500|/etc/sysctl.conf Group Ownership
LNX00520|/ etc/sysctl.conf Permissions
LNX00540|The insecure Option
LNX00560|The insecure_locks Option
LNX00580|Ctrl-Alt-Delete Sequence
LNX00600|PAM Configuration
LNX00620|/etc/securetty Group Ownership
LNX00640|/etc/securetty Ownership
LNX00660|/etc/securetty Permissions
LNX00680|RealPlayer Version
SOL00020|/etc/rmmount.conf Configuration
SOL00040|audit_user User Auditing Levels
SOL00060|audit_user Ownership
SOL00080|audit_user Group Ownership
SOL00100|audit_user Permissions
SOL00120|Aset Master Files Location
SOL00140|/usr/asset/masters/uid_aliases Content
SOL00160|ASET Used on a Firewall
SOL00180|ASET Environment Variables
SOL00200|NIS+ and YPCHECK
SOL00220|/usr/aset/userlist Content
SOL00240|/usr/asset/userlist Ownership
SOL00260|/usr/asset/userlist Permissions
SOL00300|EEPROM security-mode Parameter
SOL00360|Sun Answerbook2 Script Access
SOL00380|Sun Answerbook2 dwhttpd Format String
SOL00400|NFS Server Logging
SOL00420|Hidden Extended File Attributes
SOL00440|Group Account with gid of 0
